District,Y,X
Alamo Square,37.777762,-122.434619
Anza Vista,37.780941,-122.443473
Ashbury Heights,37.763354,-122.449624
Balboa Park,37.722821,-122.441866
Balboa Terrace,37.731338,-122.468046
Bayview,37.729772,-122.381404
Belden Place,37.791358,-122.403397
Bernal Heights,37.740012,-122.416656
Buena Vista,37.764364,-122.442581
Butchertown,37.729464,-122.392499
Castro,37.761865,-122.434423
Cathedral Hill,37.784361,-122.424496
Cayuga Terrace,37.725298,-122.439752
China Basin,37.77952,-122.393549
Chinatown,37.79412,-122.407196
Civic Center,37.778939,-122.41775
Clarendon Heights,37.755282,-122.451249
Cole Valley,37.765388,-122.449665
Corona Heights,37.765058,-122.438681
Cow Hollow,37.797914,-122.436105
Crocker-Amazon,37.710856,-122.43882
Design District,37.768279,-122.400906
Diamond Heights,37.741691,-122.442219
Dogpatch,37.757699,-122.389946
Dolores Heights,37.756625,-122.433417
Duboce Triangle,37.76694,-122.432618
Embarcadero,37.798473,-122.396472
Eureka Valley,37.758195,-122.441122
Excelsior,37.726237,-122.42086
Fillmore,37.7802,-122.43078
Financial District,37.79457,-122.401221
Financial District South,37.790467,-122.401865
Fisherman's Wharf,37.807907,-122.416674
Forest Hill,37.747255,-122.464756
Forest Knolls,37.757539,-122.458719
Glen Park,37.738215,-122.431846
Golden Gate Heights,37.753456,-122.470293
Haight-Ashbury,37.770061,-122.444411
Hayes Valley,37.774946,-122.425965
Hunters Point,37.732005,-122.371501
India Basin,37.741127,-122.382428
Ingleside,37.72083,-122.455152
Ingleside Terraces,37.724768,-122.467748
Inner Sunset,37.759493,-122.46542
Islais Creek,37.746637,-122.389823
Jackson Square,37.796884,-122.403331
Japantown,37.785716,-122.430444
Jordan Park,37.784567,-122.456636
Laguna Honda,37.750819,-122.460768
Lake Street,37.785331,-122.469769
Lakeside,37.725612,-122.473587
Lakeshore,37.72117,-122.48875
Laurel Heights,37.784025,-122.452928
Little Hollywood,37.709859,-122.398346
Little Russia,37.780238,-122.48146
Little Saigon,37.784285,-122.417794
Lone Mountain,37.778056,-122.452088
Lower Haight,37.771874,-122.433754
Lower Pacific Heights,37.786224,-122.435819
Lower Nob Hill,37.789101,-122.413164
Marina District,37.801435,-122.436159
Merced Heights,37.719382,-122.467673
Merced Manor,37.732731,-122.47829
Midtown Terrace,37.749616,-122.453435
Mid-Market,37.780204,-122.411374
Miraloma Park,37.738544,-122.450083
Mission Bay,37.772291,-122.393684
Mission District,37.75814,-122.415817
Mission Dolores,37.764506,-122.425764
Mission Terrace,37.725807,-122.437991
Monterey Heights,37.732993,-122.461969
Mount Davidson,37.738884,-122.454261
Nob Hill,37.793351,-122.415554
Noe Valley,37.749327,-122.43349
North Beach,37.804,-122.407982
North of Panhandle,37.772186,-122.447669
Oceanview,37.718121,-122.461724
Outer Mission,37.723445,-122.442863
Outer Sunset,37.7544,-122.493842
Pacific Heights,37.792089,-122.433793
Parkmerced,37.71764,-122.479207
Parkside,37.741893,-122.487357
Parnassus,37.75799,-122.457966
Polk Gulch,37.792709,-122.420988
Portola,37.727173,-122.411036
Portola Place,37.728136,-122.397684
Potrero Hill,37.758978,-122.394522
Presidio,37.797006,-122.466616
Presidio Heights,37.788676,-122.452799
Richmond District,37.778935,-122.477976
Rincon Hill,37.787143,-122.391937
Russian Hill,37.80051,-122.4181
Saint Francis Wood,37.736524,-122.466622
Sea Cliff,37.784082,-122.503018
Sherwood Forest,37.736936,-122.458832
Silver Terrace,37.734191,-122.399387
South Beach,37.787276,-122.394314
South End,37.805193,-122.420861
South of Market,37.77749,-122.400358
South Park,37.781609,-122.393916
Sunnydale,37.710303,-122.419024
Sunnyside,37.730345,-122.446207
Sunset District,37.751327,-122.487756
Telegraph Hill,37.801243,-122.406199
Tenderloin,37.783895,-122.414898
Treasure Island,37.822691,-122.370318
Twin Peaks,37.751317,-122.44918
Union Square,37.78784,-122.407466
University Mound,37.726397,-122.417981
Upper Market,37.753708,-122.443816
Visitacion Valley,37.714878,-122.411453
Vista del Mar,37.77787,-122.507528
West Portal,37.741117,-122.466298
Western Addition,37.780711,-122.433612
Westwood Highlands,37.733187,-122.456443
Westwood Park,37.727656,-122.456107
Yerba Buena,37.78489,-122.402707
